==> connecting to <LAN_IP>:5555
==> capturing device facts
==> stopping prior instance + clearing logcat
==> launching soak: tiles=6 pool=live resolution=auto
==> streaming events to docs/findings/runs/long-soak-6t-live-upstairs-v3-20260531-2229/events.log
==> running for 118800 seconds (Ctrl+C aborts early)
[2026-05-31 23:41:53] pss=129.7MB java=29840KB native=26864KB graphics=4756KB
[2026-05-31 23:42:54] pss=129.6MB java=29692KB native=26864KB graphics=4756KB
[2026-05-31 23:43:54] pss=129.6MB java=29688KB native=26868KB graphics=4756KB
[2026-05-31 23:44:55] pss=129.6MB java=29724KB native=26864KB graphics=4756KB
[2026-05-31 23:45:56] pss=129.6MB java=29696KB native=26868KB graphics=4756KB
[2026-05-31 23:46:57] pss=129.5MB java=29684KB native=26844KB graphics=4756KB
[2026-05-31 23:47:57] pss=129.6MB java=29692KB native=26900KB graphics=4756KB
[2026-05-31 23:48:58] pss=130.9MB java=30288KB native=27656KB graphics=4756KB
[2026-05-31 23:49:59] pss=129.8MB java=29780KB native=27092KB graphics=4756KB
[2026-05-31 23:50:59] pss=129.6MB java=29692KB native=26896KB graphics=4756KB
[2026-05-31 23:52:00] pss=129.6MB java=29684KB native=26896KB graphics=4756KB
[2026-05-31 23:53:01] pss=129.7MB java=29724KB native=26896KB graphics=4756KB
[2026-05-31 23:54:02] pss=129.6MB java=29700KB native=26896KB graphics=4756KB
[2026-05-31 23:55:02] pss=129.6MB java=29684KB native=26896KB graphics=4756KB
[2026-05-31 23:56:03] pss=129.6MB java=29692KB native=26896KB graphics=4756KB
[2026-05-31 23:57:04] pss=129.7MB java=29708KB native=26900KB graphics=4756KB
[2026-05-31 23:58:04] pss=129.8MB java=29776KB native=27012KB graphics=4756KB
[2026-05-31 23:59:05] pss=129.7MB java=29692KB native=26924KB graphics=4756KB
[2026-06-01 00:00:06] pss=129.6MB java=29684KB native=26920KB graphics=4756KB
[2026-06-01 00:01:07] pss=129.8MB java=29780KB native=26944KB graphics=4756KB
