timestamp,total_pss_kb,java_heap_kb,native_heap_kb,graphics_kb
2026-06-01 20:08:55,86254,14816,12644,4264
2026-06-01 20:09:55,90389,15560,14816,4264
2026-06-01 20:10:56,91861,16832,14464,4264
2026-06-01 20:11:56,91021,17156,13808,4264
2026-06-01 20:12:57,93069,16448,16468,4264
2026-06-01 20:13:58,93469,16564,16732,4264
2026-06-01 20:14:58,88685,15904,12612,4264
